,title,page_link,writer,script_link
934,Robocop,https://imsdb.com/Movie%20Scripts/Robocop%20Script.html,"Written by Michael Miner,Edward Neumeier",https://imsdb.com/scripts/Robocop.pdf
935,"Rock, The","https://imsdb.com/Movie%20Scripts/Rock,%20The%20Script.html",Written by Jonathan Hensleigh,"https://imsdb.com/scripts/Rock,-The.html"
936,RocknRolla,https://imsdb.com/Movie%20Scripts/RocknRolla%20Script.html,Written by Guy Ritchie,https://imsdb.com/scripts/RocknRolla.html
937,Rocky,https://imsdb.com/Movie%20Scripts/Rocky%20Script.html,Written by Sylvester Stallone,https://imsdb.com/scripts/Rocky.html
938,"Rocky Horror Picture Show, The","https://imsdb.com/Movie%20Scripts/Rocky%20Horror%20Picture%20Show,%20The%20Script.html","Written by Richard O'Brien, Jim Sharman","https://imsdb.com/scripts/Rocky-Horror-Picture-Show,-The.html"
939,Romeo & Juliet,https://imsdb.com/Movie%20Scripts/Romeo%20&%20Juliet%20Script.html,"Written by William Shakespeare,Craig Pearce,Baz Luhrmann",https://imsdb.com/scripts/
940,Ronin,https://imsdb.com/Movie%20Scripts/Ronin%20Script.html,Written by J.D. Zeik,https://imsdb.com/scripts/Ronin.html
941,Room,https://imsdb.com/Movie%20Scripts/Room%20Script.html,Written by Emma Donoghue,https://imsdb.com/scripts/Room.html
942,"Roommate, The","https://imsdb.com/Movie%20Scripts/Roommate,%20The%20Script.html","Written by Sonny Mallhi,Frank Baldwin","https://imsdb.com/scripts/Roommate,-The.html"
943,Roughshod,https://imsdb.com/Movie%20Scripts/Roughshod%20Script.html,"Written by Hugo Butler,Geoffrey Homes,Peter Viertel",https://imsdb.com/scripts/Roughshod.html
944,"Ruins, The","https://imsdb.com/Movie%20Scripts/Ruins,%20The%20Script.html",Written by Scott Smith,"https://imsdb.com/scripts/Ruins,-The.html"
945,Runaway Bride,https://imsdb.com/Movie%20Scripts/Runaway%20Bride%20Script.html,"Written by Josann McGibbon,Sara Parriott",https://imsdb.com/scripts/Runaway-Bride.html
946,Rush,https://imsdb.com/Movie%20Scripts/Rush%20Script.html,Written by Peter Morgan,https://imsdb.com/scripts/Rush.html
947,Rush Hour,https://imsdb.com/Movie%20Scripts/Rush%20Hour%20Script.html,"Written by Ross LaManna,Jim Kouf",https://imsdb.com/scripts/Rush-Hour.html
948,Rush Hour 2,https://imsdb.com/Movie%20Scripts/Rush%20Hour%202%20Script.html,Written by Jeff Nathanson,https://imsdb.com/scripts/Rush-Hour-2.html
949,Rushmore,https://imsdb.com/Movie%20Scripts/Rushmore%20Script.html,"Written by Wes Anderson,Owen Wilson",https://imsdb.com/scripts/Rushmore.html
950,Rust and Bone,https://imsdb.com/Movie%20Scripts/Rust%20and%20Bone%20Script.html,"Written by Jacques Audiard,Thomas Bidegain",https://imsdb.com/scripts/Rust-and-Bone.html
951,S. Darko,https://imsdb.com/Movie%20Scripts/S.%20Darko%20Script.html,Written by Nathan Atkins,https://imsdb.com/scripts/S.-Darko.html
952,"Saint, The","https://imsdb.com/Movie%20Scripts/Saint,%20The%20Script.html",Written by Jonathan Hensleigh,"https://imsdb.com/scripts/Saint,-The.html"
953,"Salton Sea, The","https://imsdb.com/Movie%20Scripts/Salton%20Sea,%20The%20Script.html",Written by Tony Gayton,"https://imsdb.com/scripts/Salton-Sea,-The.html"
954,"Sandlot Kids, The","https://imsdb.com/Movie%20Scripts/Sandlot%20Kids,%20The%20Script.html","Written by David Mickey Evans,Robert Gunter","https://imsdb.com/scripts/Sandlot-Kids,-The.html"
955,Save the Last Dance,https://imsdb.com/Movie%20Scripts/Save%20the%20Last%20Dance%20Script.html,"Written by Duane G. Adler,Toni-Ann Johnson,Cheryl Edwards",https://imsdb.com/scripts/Save-the-Last-Dance.html
956,Saving Mr. Banks,https://imsdb.com/Movie%20Scripts/Saving%20Mr.%20Banks%20Script.html,"Written by Kelly Marcel,Sue Smith",https://imsdb.com/scripts/Saving-Mr.-Banks.html
957,Saving Private Ryan,https://imsdb.com/Movie%20Scripts/Saving%20Private%20Ryan%20Script.html,Written by Robert Rodat,https://imsdb.com/scripts/Saving-Private-Ryan.html
958,Saw,https://imsdb.com/Movie%20Scripts/Saw%20Script.html,"Written by James Wan,Leigh Whannell",https://imsdb.com/scripts/Saw.html
959,Scarface,https://imsdb.com/Movie%20Scripts/Scarface%20Script.html,Written by Oliver Stone,https://imsdb.com/scripts/Scarface.html
960,Scary Movie 2,https://imsdb.com/Movie%20Scripts/Scary%20Movie%202%20Script.html,"Written by Shawn Wayans,Marlon Wayans",https://imsdb.com/scripts/Scary-Movie-2.html
961,Schindler's List,https://imsdb.com/Movie%20Scripts/Schindler's%20List%20Script.html,Written by Steven Zaillian,https://imsdb.com/scripts/Schindler's-List.html
962,Scott Pilgrim vs the World,https://imsdb.com/Movie%20Scripts/Scott%20Pilgrim%20vs%20the%20World%20Script.html,"Written by Edgar Wright,Michael Bacall",https://imsdb.com/scripts/Scott-Pilgrim-vs-the-World.html
963,Scream,https://imsdb.com/Movie%20Scripts/Scream%20Script.html,Written by Kevin Williamson,https://imsdb.com/scripts/Scream.html
964,Scream 2,https://imsdb.com/Movie%20Scripts/Scream%202%20Script.html,Written by Kevin Williamson,https://imsdb.com/scripts/Scream-2.html
965,Scream 3,https://imsdb.com/Movie%20Scripts/Scream%203%20Script.html,"Written by Kevin Williamson,Ehren Kruger",https://imsdb.com/scripts/Scream-3.html
966,Se7en,https://imsdb.com/Movie%20Scripts/Se7en%20Script.html,Written by Andrew Kevin Walker,https://imsdb.com/scripts/Se7en.html
967,"Searchers, The","https://imsdb.com/Movie%20Scripts/Searchers,%20The%20Script.html",Written by Frank Nugent,"https://imsdb.com/scripts/Searchers,-The.html"
968,"Secret Life of Walter Mitty, The","https://imsdb.com/Movie%20Scripts/Secret%20Life%20of%20Walter%20Mitty,%20The%20Script.html",Written by Steve Conrad,"https://imsdb.com/scripts/Secret-Life-of-Walter-Mitty,-The.html"
969,Semi-Pro,https://imsdb.com/Movie%20Scripts/Semi-Pro%20Script.html,Written by Scot Armstrong,https://imsdb.com/scripts/Semi-Pro.html
970,Sense and Sensibility,https://imsdb.com/Movie%20Scripts/Sense%20and%20Sensibility%20Script.html,"Written by Jane Austen,Emma Thompson",https://imsdb.com/scripts/Sense-and-Sensibility.html
971,Serenity,https://imsdb.com/Movie%20Scripts/Serenity%20Script.html,Written by Joss Whedon,https://imsdb.com/scripts/Serenity.html
972,Serial Mom,https://imsdb.com/Movie%20Scripts/Serial%20Mom%20Script.html,Written by John Waters,https://imsdb.com/scripts/Serial-Mom.html
973,"Sessions, The","https://imsdb.com/Movie%20Scripts/Sessions,%20The%20Script.html",Written by Ben Lewin,"https://imsdb.com/scripts/Sessions,-The.html"
974,"Seventh Seal, The","https://imsdb.com/Movie%20Scripts/Seventh%20Seal,%20The%20Script.html",Written by Ingmar Bergman,"https://imsdb.com/scripts/Seventh-Seal,-The.html"
975,Sex and the City,https://imsdb.com/Movie%20Scripts/Sex%20and%20the%20City%20Script.html,Written by Michael Patrick King,https://imsdb.com/scripts/Sex-and-the-City.html
976,"Sex, Lies and Videotape","https://imsdb.com/Movie%20Scripts/Sex,%20Lies%20and%20Videotape%20Script.html",Written by Steven Soderbergh,"https://imsdb.com/scripts/Sex,-Lies-and-Videotape.html"
977,Sexual Life,https://imsdb.com/Movie%20Scripts/Sexual%20Life%20Script.html,Written by Ken Kwapis,https://imsdb.com/scripts/Sexual-Life.html
978,Shadow of the Vampire,https://imsdb.com/Movie%20Scripts/Shadow%20of%20the%20Vampire%20Script.html,Written by Steven Katz,https://imsdb.com/scripts/Shadow-of-the-Vampire.pdf
979,Shakespeare in Love,https://imsdb.com/Movie%20Scripts/Shakespeare%20in%20Love%20Script.html,"Written by Marc Norman,Tom Stoppard",https://imsdb.com/scripts/Shakespeare-in-Love.html
980,Shallow Grave,https://imsdb.com/Movie%20Scripts/Shallow%20Grave%20Script.html,Written by John Hodge,https://imsdb.com/scripts/Shallow-Grave.html
981,Shame,https://imsdb.com/Movie%20Scripts/Shame%20Script.html,"Written by Steve McQueen,Abi Morgan",https://imsdb.com/scripts/Shame.html
982,Shampoo,https://imsdb.com/Movie%20Scripts/Shampoo%20Script.html,"Written by Robert Towne,Warren Beatty",https://imsdb.com/scripts/Shampoo.html
983,"Shawshank Redemption, The","https://imsdb.com/Movie%20Scripts/Shawshank%20Redemption,%20The%20Script.html",Written by Frank Darabont,"https://imsdb.com/scripts/Shawshank-Redemption,-The.html"
984,She's Out of My League,https://imsdb.com/Movie%20Scripts/She's%20Out%20of%20My%20League%20Script.html,"Written by Sean Anders,John Morris",https://imsdb.com/scripts/She's-Out-of-My-League.html
985,Sherlock Holmes,https://imsdb.com/Movie%20Scripts/Sherlock%20Holmes%20Script.html,"Written by Michael Robert Johnson,Anthony Peckham,Simon Kinberg",https://imsdb.com/scripts/Sherlock-Holmes.html
986,Shifty,https://imsdb.com/Movie%20Scripts/Shifty%20Script.html,Written by Eran Creevy,https://imsdb.com/scripts/Shifty.html
987,"Shining, The","https://imsdb.com/Movie%20Scripts/Shining,%20The%20Script.html","Written by Stanley Kubrick,Diane Johnson","https://imsdb.com/scripts/Shining,-The.html"
988,"Shipping News, The","https://imsdb.com/Movie%20Scripts/Shipping%20News,%20The%20Script.html","Written by E. Annie Proulx,Robert Nelson Jacobs","https://imsdb.com/scripts/Shipping-News,-The.html"
989,Shivers,https://imsdb.com/Movie%20Scripts/Shivers%20Script.html,Written by David Cronenberg,https://imsdb.com/scripts/Shivers.html
990,Shrek,https://imsdb.com/Movie%20Scripts/Shrek%20Script.html,"Written by William Steig,Ted Elliott",https://imsdb.com/scripts/Shrek.html
991,Shrek the Third,https://imsdb.com/Movie%20Scripts/Shrek%20the%20Third%20Script.html,"Written by Peter Seaman,Jeffrey Price,Chris Miller,Aron Warner",https://imsdb.com/scripts/Shrek-the-Third.html
992,Sicario,https://imsdb.com/Movie%20Scripts/Sicario%20Script.html,Written by Taylor Sheridan,https://imsdb.com/scripts/Sicario.html
993,Sideways,https://imsdb.com/Movie%20Scripts/Sideways%20Script.html,"Written by Rex Pickett,Alexander Payne,Jim Taylor",https://imsdb.com/scripts/Sideways.html
994,"Siege, The","https://imsdb.com/Movie%20Scripts/Siege,%20The%20Script.html","Written by Lawrence Wright,Menno Meyjes,Edward Zwick","https://imsdb.com/scripts/Siege,-The.html"
995,Signs,https://imsdb.com/Movie%20Scripts/Signs%20Script.html,Written by M. Night Shyamalan,https://imsdb.com/scripts/Signs.html
996,Silence of the Lambs,https://imsdb.com/Movie%20Scripts/Silence%20of%20the%20Lambs%20Script.html,"Written by Thomas Harris,Ted Tally",https://imsdb.com/scripts/Silence-of-the-Lambs.html
997,Silver Bullet,https://imsdb.com/Movie%20Scripts/Silver%20Bullet%20Script.html,Written by Stephen King,https://imsdb.com/scripts/Silver-Bullet.html
998,Silver Linings Playbook,https://imsdb.com/Movie%20Scripts/Silver%20Linings%20Playbook%20Script.html,"Written by David O. Russell,Matthew Quick",https://imsdb.com/scripts/Silver-Linings-Playbook.html
999,Simone,https://imsdb.com/Movie%20Scripts/Simone%20Script.html,Written by Andrew Niccol,https://imsdb.com/scripts/Simone.html
1000,Single White Female,https://imsdb.com/Movie%20Scripts/Single%20White%20Female%20Script.html,"Written by Don Roos,John Lutz",https://imsdb.com/scripts/Single-White-Female.html
1001,Sister Act,https://imsdb.com/Movie%20Scripts/Sister%20Act%20Script.html,Written by Paul Rudnick,https://imsdb.com/scripts/Sister-Act.html
1002,Six Degrees of Separation,https://imsdb.com/Movie%20Scripts/Six%20Degrees%20of%20Separation%20Script.html,Written by John Guare,https://imsdb.com/scripts/Six-Degrees-of-Separation.html
1003,"Sixth Sense, The","https://imsdb.com/Movie%20Scripts/Sixth%20Sense,%20The%20Script.html",Written by M. Night Shyamalan,"https://imsdb.com/scripts/Sixth-Sense,-The.html"
1004,Sleepless in Seattle,https://imsdb.com/Movie%20Scripts/Sleepless%20in%20Seattle%20Script.html,"Written by Jeff Arch,Nora Ephron,David S. Ward",https://imsdb.com/scripts/Sleepless-in-Seattle.html
1005,Sleepy Hollow,https://imsdb.com/Movie%20Scripts/Sleepy%20Hollow%20Script.html,"Written by Andrew Kevin Walker,Tom Stoppard",https://imsdb.com/scripts/Sleepy-Hollow.html
1006,Sling Blade,https://imsdb.com/Movie%20Scripts/Sling%20Blade%20Script.html,Written by Billy Bob Thornton,https://imsdb.com/scripts/Sling-Blade.html
1007,Slither,https://imsdb.com/Movie%20Scripts/Slither%20Script.html,Written by James Gunn,https://imsdb.com/scripts/Slither.html
1008,Slumdog Millionaire,https://imsdb.com/Movie%20Scripts/Slumdog%20Millionaire%20Script.html,"Written by Simon Beaufoy,Vikas Swarup",https://imsdb.com/scripts/Slumdog-Millionaire.html
1009,Smashed,https://imsdb.com/Movie%20Scripts/Smashed%20Script.html,"Written by Susan Burke,James Ponsoldt",https://imsdb.com/scripts/Smashed.html
1010,Smokin' Aces,https://imsdb.com/Movie%20Scripts/Smokin'%20Aces%20Script.html,Written by Joe Carnahan,https://imsdb.com/scripts/Smokin'-Aces.html
1011,Snatch,https://imsdb.com/Movie%20Scripts/Snatch%20Script.html,Written by Guy Ritchie,https://imsdb.com/scripts/Snatch.html
1012,Sneakers,https://imsdb.com/Movie%20Scripts/Sneakers%20Script.html,"Written by Phil Alden Robinson,Lawrence Lasker",https://imsdb.com/scripts/Sneakers.pdf
1013,Snow Falling On Cedars,https://imsdb.com/Movie%20Scripts/Snow%20Falling%20On%20Cedars%20Script.html,"Written by Ronald Bass,Scott Hicks",https://imsdb.com/scripts/Snow-Falling-On-Cedars.html
1014,Snow White and the Huntsman,https://imsdb.com/Movie%20Scripts/Snow%20White%20and%20the%20Huntsman%20Script.html,"Written by Evan Daugherty,John Lee Hancock,Hossein Amini",https://imsdb.com/scripts/Snow-White-and-the-Huntsman.html
1015,So I Married an Axe Murderer,https://imsdb.com/Movie%20Scripts/So%20I%20Married%20an%20Axe%20Murderer%20Script.html,Written by Robbie Fox,https://imsdb.com/scripts/So-I-Married-an-Axe-Murderer.html
1016,"Social Network, The","https://imsdb.com/Movie%20Scripts/Social%20Network,%20The%20Script.html",Written by Aaron Sorkin,"https://imsdb.com/scripts/Social-Network,-The.html"
1017,Solaris,https://imsdb.com/Movie%20Scripts/Solaris%20Script.html,Written by Steven Soderbergh,https://imsdb.com/scripts/Solaris.html
1018,Soldier,https://imsdb.com/Movie%20Scripts/Soldier%20Script.html,Written by David Webb Peoples,https://imsdb.com/scripts/Soldier.html
1019,Someone To Watch Over Me,https://imsdb.com/Movie%20Scripts/Someone%20To%20Watch%20Over%20Me%20Script.html,"Written by Howard Franklin,Danilo Bach,David Seltzer",https://imsdb.com/scripts/Someone-To-Watch-Over-Me.html
1020,Something's Gotta Give,https://imsdb.com/Movie%20Scripts/Something's%20Gotta%20Give%20Script.html,Written by Nancy Meyers,https://imsdb.com/scripts/Something's-Gotta-Give.html
1021,Source Code,https://imsdb.com/Movie%20Scripts/Source%20Code%20Script.html,Written by Ben Ripley,https://imsdb.com/scripts/Source-Code.html
1022,South Park,https://imsdb.com/Movie%20Scripts/South%20Park%20Script.html,"Written by Trey Parker,Matt Stone,Pam Brady",https://imsdb.com/scripts/South-Park.html
1023,Space Milkshake,https://imsdb.com/Movie%20Scripts/Space%20Milkshake%20Script.html,Written by Armen Evrensel,https://imsdb.com/scripts/Space-Milkshake.html
1024,Spanglish,https://imsdb.com/Movie%20Scripts/Spanglish%20Script.html,Written by James L. Brooks,https://imsdb.com/scripts/Spanglish.html
1025,Spare Me,https://imsdb.com/Movie%20Scripts/Spare%20Me%20Script.html,"Written by Christopher Grimm,Matthew Harrison",https://imsdb.com/scripts/Spare-Me.html
1026,Spartan,https://imsdb.com/Movie%20Scripts/Spartan%20Script.html,Written by Brian Helgeland,https://imsdb.com/scripts/Spartan.html
1027,Speed,https://imsdb.com/Movie%20Scripts/Speed%20Script.html,Written by Graham Yost,https://imsdb.com/scripts/Speed.pdf
1028,Speed Racer,https://imsdb.com/Movie%20Scripts/Speed%20Racer%20Script.html,"Written by Larry Wachowski,Andy Wachowski",https://imsdb.com/scripts/Speed-Racer.html
1029,Sphere,https://imsdb.com/Movie%20Scripts/Sphere%20Script.html,Written by Stephen Hauser,https://imsdb.com/scripts/Sphere.html
1030,Spider-Man,https://imsdb.com/Movie%20Scripts/Spider-Man%20Script.html,Written by David Koepp,https://imsdb.com/scripts/Spider-Man.html
1031,St. Elmo's Fire,https://imsdb.com/Movie%20Scripts/St.%20Elmo's%20Fire%20Script.html,"Written by Joel Schumacher,Carl Kurlander",https://imsdb.com/scripts/St.-Elmo's-Fire.html
1032,Star Trek,https://imsdb.com/Movie%20Scripts/Star%20Trek%20Script.html,"Written by Roberto Orci,Alex Kurtzman",https://imsdb.com/scripts/Star-Trek.html
1033,Star Trek II: The Wrath of Khan,https://imsdb.com/Movie%20Scripts/Star%20Trek%20II:%20The%20Wrath%20of%20Khan%20Script.html,"Written by Jack B Sowards,Harve Bennett",https://imsdb.com/scripts/Star-Trek-II-The-Wrath-of-Khan.html
1034,Star Trek: First Contact,https://imsdb.com/Movie%20Scripts/Star%20Trek:%20First%20Contact%20Script.html,"Written by Ronald Moore,Brannon Braga",https://imsdb.com/scripts/Star-Trek-First-Contact.html
1035,Star Trek: Generations,https://imsdb.com/Movie%20Scripts/Star%20Trek:%20Generations%20Script.html,"Written by Rick Berman,Ronald Moore,Brannon Braga",https://imsdb.com/scripts/Star-Trek-Generations.html
1036,Star Trek: Nemesis,https://imsdb.com/Movie%20Scripts/Star%20Trek:%20Nemesis%20Script.html,Written by John Logan,https://imsdb.com/scripts/Star-Trek-Nemesis.html
1037,Star Trek: The Motion Picture,https://imsdb.com/Movie%20Scripts/Star%20Trek:%20The%20Motion%20Picture%20Script.html,"Written by Gene Roddenberry,Harold Livingston",https://imsdb.com/scripts/Star-Trek-The-Motion-Picture.html
1038,Star Wars: A New Hope,https://imsdb.com/Movie%20Scripts/Star%20Wars:%20A%20New%20Hope%20Script.html,Written by George Lucas,https://imsdb.com/scripts/Star-Wars-A-New-Hope.html
1039,Star Wars: Attack of the Clones,https://imsdb.com/Movie%20Scripts/Star%20Wars:%20Attack%20of%20the%20Clones%20Script.html,Written by George Lucas,https://imsdb.com/scripts/Star-Wars-Attack-of-the-Clones.html
1040,Star Wars: Return of the Jedi,https://imsdb.com/Movie%20Scripts/Star%20Wars:%20Return%20of%20the%20Jedi%20Script.html,"Written by George Lucas,Lawrence Kasdan",https://imsdb.com/scripts/Star-Wars-Return-of-the-Jedi.html
1041,Star Wars: Revenge of the Sith,https://imsdb.com/Movie%20Scripts/Star%20Wars:%20Revenge%20of%20the%20Sith%20Script.html,Written by George Lucas,https://imsdb.com/scripts/Star-Wars-Revenge-of-the-Sith.html
1042,Star Wars: The Empire Strikes Back,https://imsdb.com/Movie%20Scripts/Star%20Wars:%20The%20Empire%20Strikes%20Back%20Script.html,"Written by George Lucas,Lawrence Kasdan,Leigh Brackett",https://imsdb.com/scripts/Star-Wars-The-Empire-Strikes-Back.html
1043,Star Wars: The Force Awakens,https://imsdb.com/Movie%20Scripts/Star%20Wars:%20The%20Force%20Awakens%20Script.html,"Written by Lawrence Kasdan,J.J. Abrams,Michael Arndt",https://imsdb.com/scripts/Star-Wars-The-Force-Awakens.html
1044,Star Wars: The Phantom Menace,https://imsdb.com/Movie%20Scripts/Star%20Wars:%20The%20Phantom%20Menace%20Script.html,Written by George Lucas,https://imsdb.com/scripts/Star-Wars-The-Phantom-Menace.html
1045,Starman,https://imsdb.com/Movie%20Scripts/Starman%20Script.html,"Written by Bruce A. Evans,Raynold Gideon",https://imsdb.com/scripts/Starman.html
1046,Starship Troopers,https://imsdb.com/Movie%20Scripts/Starship%20Troopers%20Script.html,"Written by Robert A. Heinlein,Edward Neumeier",https://imsdb.com/scripts/Starship-Troopers.html
1047,State and Main,https://imsdb.com/Movie%20Scripts/State%20and%20Main%20Script.html,Written by David Mamet,https://imsdb.com/scripts/State-and-Main.html
1048,Station West,https://imsdb.com/Movie%20Scripts/Station%20West%20Script.html,"Written by Frank Fenton,Winston Miller,Luke Short",https://imsdb.com/scripts/Station-West.html
1049,Stepmom,https://imsdb.com/Movie%20Scripts/Stepmom%20Script.html,"Written by Ronald Bass,Gigi Levangie,Elizabeth Chandler,Jessie Nelson,Steven Rogers",https://imsdb.com/scripts/Stepmom.html
1050,"Sting, The","https://imsdb.com/Movie%20Scripts/Sting,%20The%20Script.html",Written by David Ward,"https://imsdb.com/scripts/Sting,-The.html"
1051,Stir of Echoes,https://imsdb.com/Movie%20Scripts/Stir%20of%20Echoes%20Script.html,"Written by David Koepp,Richard Matheson",https://imsdb.com/scripts/Stir-of-Echoes.html
1052,Storytelling,https://imsdb.com/Movie%20Scripts/Storytelling%20Script.html,Written by Todd Solondz,https://imsdb.com/scripts/Storytelling.html
1053,Straight Outta Compton,https://imsdb.com/Movie%20Scripts/Straight%20Outta%20Compton%20Script.html,"Written by Jonathan Herman,Andrea Berloff",https://imsdb.com/scripts/Straight-Outta-Compton.html
1054,Strange Days,https://imsdb.com/Movie%20Scripts/Strange%20Days%20Script.html,"Written by James Cameron,Jay Cocks",https://imsdb.com/scripts/Strange-Days.html
1055,Strangers on a Train,https://imsdb.com/Movie%20Scripts/Strangers%20on%20a%20Train%20Script.html,"Written by Raymond Chandler,Czenzi Ormonde",https://imsdb.com/scripts/Strangers-on-a-Train.html
1056,"Stuntman, The","https://imsdb.com/Movie%20Scripts/Stuntman,%20The%20Script.html","Written by Lawrence B. Marcus,Richard Rush,Paul Brodeur","https://imsdb.com/scripts/Stuntman,-The.html"
1057,Sugar,https://imsdb.com/Movie%20Scripts/Sugar%20Script.html,"Written by Anna Boden,Ryan Fleck",https://imsdb.com/scripts/Sugar.html
1058,Sugar and Spice,https://imsdb.com/Movie%20Scripts/Sugar%20and%20Spice%20Script.html,Written by Mandy Nelson,https://imsdb.com/scripts/Sugar-and-Spice.html
1059,Sunset Blvd.,https://imsdb.com/Movie%20Scripts/Sunset%20Blvd.%20Script.html,"Written by Charles Brackett,Billy Wilder,D.M. Harshman Jr.",https://imsdb.com/scripts/Sunset-Blvd..html
1060,Sunshine Cleaning,https://imsdb.com/Movie%20Scripts/Sunshine%20Cleaning%20Script.html,Written by Megan Holley,https://imsdb.com/scripts/Sunshine-Cleaning.html
1061,Super 8,https://imsdb.com/Movie%20Scripts/Super%208%20Script.html,Written by J.J. Abrams,https://imsdb.com/scripts/Super-8.html
1062,Superbad,https://imsdb.com/Movie%20Scripts/Superbad%20Script.html,"Written by Seth Rogen,Evan Goldberg",https://imsdb.com/scripts/Superbad.html
1063,Superfights,https://imsdb.com/Movie%20Scripts/Superfights%20Script.html,Written by Keith Strandburg,https://imsdb.com/scripts/Superfights.pdf
1064,Supergirl,https://imsdb.com/Movie%20Scripts/Supergirl%20Script.html,Written by David Odell,https://imsdb.com/scripts/Supergirl.html
1065,"Surfer King, The","https://imsdb.com/Movie%20Scripts/Surfer%20King,%20The%20Script.html",Written by Bernard Murray Jr,"https://imsdb.com/scripts/Surfer-King,-The.html"
1066,Surrogates,https://imsdb.com/Movie%20Scripts/Surrogates%20Script.html,"Written by John Brancato,Michael Ferris,Robert Venditti",https://imsdb.com/scripts/Surrogates.html
1067,Suspect Zero,https://imsdb.com/Movie%20Scripts/Suspect%20Zero%20Script.html,Written by Zak Penn,https://imsdb.com/scripts/Suspect-Zero.html
1068,Sweeney Todd: The Demon Barber of Fleet Street,https://imsdb.com/Movie%20Scripts/Sweeney%20Todd:%20The%20Demon%20Barber%20of%20Fleet%20Street%20Script.html,Written by John Logan,https://imsdb.com/scripts/Sweeney-Todd-The-Demon-Barber-of-Fleet-Street.html
1069,"Sweet Hereafter, The","https://imsdb.com/Movie%20Scripts/Sweet%20Hereafter,%20The%20Script.html","Written by Russel Banks,Atom Egoyan","https://imsdb.com/scripts/Sweet-Hereafter,-The.html"
1070,Sweet Smell of Success,https://imsdb.com/Movie%20Scripts/Sweet%20Smell%20of%20Success%20Script.html,"Written by Ernest Lehman,Clifford Odets",https://imsdb.com/scripts/Sweet-Smell-of-Success.html
1071,Swingers,https://imsdb.com/Movie%20Scripts/Swingers%20Script.html,Written by Jon Favreau,https://imsdb.com/scripts/Swingers.html
1072,Swordfish,https://imsdb.com/Movie%20Scripts/Swordfish%20Script.html,Written by Skip Woods,https://imsdb.com/scripts/Swordfish.html
1073,"Synecdoche, New York","https://imsdb.com/Movie%20Scripts/Synecdoche,%20New%20York%20Script.html",Written by Charlie Kaufman,"https://imsdb.com/scripts/Synecdoche,-New-York.html"
1074,Syriana,https://imsdb.com/Movie%20Scripts/Syriana%20Script.html,"Written by Stephen Gaghan,Robert Baer",https://imsdb.com/scripts/Syriana.html
1075,Take Shelter,https://imsdb.com/Movie%20Scripts/Take%20Shelter%20Script.html,Written by Jeff Nichols,https://imsdb.com/scripts/Take-Shelter.html
1076,Taking Lives,https://imsdb.com/Movie%20Scripts/Taking%20Lives%20Script.html,"Written by Michael Pye,Jon Bokenkamp",https://imsdb.com/scripts/Taking-Lives.html
1077,"Taking of Pelham One Two Three, The","https://imsdb.com/Movie%20Scripts/Taking%20of%20Pelham%20One%20Two%20Three,%20The%20Script.html","Written by Peter Stone,John Godey","https://imsdb.com/scripts/Taking-of-Pelham-One-Two-Three,-The.html"
1078,Taking Sides,https://imsdb.com/Movie%20Scripts/Taking%20Sides%20Script.html,Written by Ronald Harwood,https://imsdb.com/scripts/Taking-Sides.html
1079,"Talented Mr. Ripley, The","https://imsdb.com/Movie%20Scripts/Talented%20Mr.%20Ripley,%20The%20Script.html",Written by Anthony Minghella,"https://imsdb.com/scripts/Talented-Mr.-Ripley,-The.html"
1080,Tall in the Saddle,https://imsdb.com/Movie%20Scripts/Tall%20in%20the%20Saddle%20Script.html,"Written by Michael Hogan,Paul P Fix,Gordon Ray Young",https://imsdb.com/scripts/Tall-in-the-Saddle.html
1081,Tamara Drewe,https://imsdb.com/Movie%20Scripts/Tamara%20Drewe%20Script.html,Written by Moira Buffini,https://imsdb.com/scripts/Tamara-Drewe.html
1082,Taxi Driver,https://imsdb.com/Movie%20Scripts/Taxi%20Driver%20Script.html,Written by Paul Schrader,https://imsdb.com/scripts/Taxi-Driver.html
1083,Ted,https://imsdb.com/Movie%20Scripts/Ted%20Script.html,"Written by Seth Macfarlane,Alec Sulkin,Wellesley Wild",https://imsdb.com/scripts/Ted.html
1084,Tenet,https://imsdb.com/Movie%20Scripts/Tenet%20Script.html,Written by Christopher Nolan,https://imsdb.com/scripts/Tenet.html
1085,Terminator,https://imsdb.com/Movie%20Scripts/Terminator%20Script.html,"Written by Harlan Ellison,James Cameron,Gale Anne Hurd,William Wisher Jr.",https://imsdb.com/scripts/Terminator.html
1086,Terminator 2: Judgement Day,https://imsdb.com/Movie%20Scripts/Terminator%202:%20Judgement%20Day%20Script.html,"Written by James Cameron,William Wisher",https://imsdb.com/scripts/Terminator-2-Judgement-Day.html
1087,Terminator Salvation,https://imsdb.com/Movie%20Scripts/Terminator%20Salvation%20Script.html,"Written by John Brancato,Michael Ferris",https://imsdb.com/scripts/Terminator-Salvation.html
1088,The Rage: Carrie 2,https://imsdb.com/Movie%20Scripts/The%20Rage:%20Carrie%202%20Script.html,Written by Rafael Moreu,https://imsdb.com/scripts/The-Rage-Carrie-2.html
1089,Thelma & Louise,https://imsdb.com/Movie%20Scripts/Thelma%20&%20Louise%20Script.html,Written by Callie Khouri,https://imsdb.com/scripts/
1090,"Theory of Everything, The","https://imsdb.com/Movie%20Scripts/Theory%20of%20Everything,%20The%20Script.html",Written by Anthony McCarten,"https://imsdb.com/scripts/Theory-of-Everything,-The.html"
